"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Andorra","2019","Total","Both Sexes","Total","Estimate - de jure","Final figure, complete","2019","76177","1"
"Andorra","2019","Total","Both Sexes","0 - 4","Estimate - de jure","Final figure, complete","2019","2719","1"
"Andorra","2019","Total","Both Sexes","5 - 9","Estimate - de jure","Final figure, complete","2019","3823","1"
"Andorra","2019","Total","Both Sexes","10 - 14","Estimate - de jure","Final figure, complete","2019","4027","1"
"Andorra","2019","Total","Both Sexes","15 - 19","Estimate - de jure","Final figure, complete","2019","4077","1"
"Andorra","2019","Total","Both Sexes","20 - 24","Estimate - de jure","Final figure, complete","2019","4005","1"
"Andorra","2019","Total","Both Sexes","25 - 29","Estimate - de jure","Final figure, complete","2019","4570","1"
"Andorra","2019","Total","Both Sexes","30 - 34","Estimate - de jure","Final figure, complete","2019","5062","1"
"Andorra","2019","Total","Both Sexes","35 - 39","Estimate - de jure","Final figure, complete","2019","6269","1"
"Andorra","2019","Total","Both Sexes","40 - 44","Estimate - de jure","Final figure, complete","2019","7035","1"
"Andorra","2019","Total","Both Sexes","45 - 49","Estimate - de jure","Final figure, complete","2019","7083","1"
"Andorra","2019","Total","Both Sexes","50 - 54","Estimate - de jure","Final figure, complete","2019","6792","1"
"Andorra","2019","Total","Both Sexes","55 - 59","Estimate - de jure","Final figure, complete","2019","5926","1"
"Andorra","2019","Total","Both Sexes","60 - 64","Estimate - de jure","Final figure, complete","2019","4443","1"
"Andorra","2019","Total","Both Sexes","65 - 69","Estimate - de jure","Final figure, complete","2019","3333","1"
"Andorra","2019","Total","Both Sexes","70 - 74","Estimate - de jure","Final figure, complete","2019","2668","1"
"Andorra","2019","Total","Both Sexes","75 - 79","Estimate - de jure","Final figure, complete","2019","1785","1"
"Andorra","2019","Total","Both Sexes","80 - 84","Estimate - de jure","Final figure, complete","2019","1190","1"
"Andorra","2019","Total","Both Sexes","85 +","Estimate - de jure","Final figure, complete","2019","1370","1"
"Antigua and Barbuda","2019","Total","Both Sexes","Total","Estimate - de jure","Final figure, complete","2019","96453","2"
"Antigua and Barbuda","2019","Total","Both Sexes","0 - 4","Estimate - de jure","Final figure, complete","2019","6870","2"
"Antigua and Barbuda","2019","Total","Both Sexes","5 - 9","Estimate - de jure","Final figure, complete","2019","6837","2"
"Antigua and Barbuda","2019","Total","Both Sexes","10 - 14","Estimate - de jure","Final figure, complete","2019","7013","2"
"Antigua and Barbuda","2019","Total","Both Sexes","15 - 19","Estimate - de jure","Final figure, complete","2019","7109","2"
"Antigua and Barbuda","2019","Total","Both Sexes","20 - 24","Estimate - de jure","Final figure, complete","2019","7841","2"
"Antigua and Barbuda","2019","Total","Both Sexes","25 - 29","Estimate - de jure","Final figure, complete","2019","7465","2"
"Antigua and Barbuda","2019","Total","Both Sexes","30 - 34","Estimate - de jure","Final figure, complete","2019","7096","2"
"Antigua and Barbuda","2019","Total","Both Sexes","35 - 39","Estimate - de jure","Final figure, complete","2019","7020","2"
"Antigua and Barbuda","2019","Total","Both Sexes","40 - 44","Estimate - de jure","Final figure, complete","2019","6966","2"
"Antigua and Barbuda","2019","Total","Both Sexes","45 - 49","Estimate - de jure","Final figure, complete","2019","6956","2"
"Antigua and Barbuda","2019","Total","Both Sexes","50 - 54","Estimate - de jure","Final figure, complete","2019","6636","2"
"Antigua and Barbuda","2019","Total","Both Sexes","55 - 59","Estimate - de jure","Final figure, complete","2019","5774","2"
"Antigua and Barbuda","2019","Total","Both Sexes","60 - 64","Estimate - de jure","Final figure, complete","2019","4325","2"
"Antigua and Barbuda","2019","Total","Both Sexes","65 - 69","Estimate - de jure","Final figure, complete","2019","3079","2"
"Antigua and Barbuda","2019","Total","Both Sexes","70 - 74","Estimate - de jure","Final figure, complete","2019","2293","2"
"Antigua and Barbuda","2019","Total","Both Sexes","75 - 79","Estimate - de jure","Final figure, complete","2019","1450","2"
"Antigua and Barbuda","2019","Total","Both Sexes","80 - 84","Estimate - de jure","Final figure, complete","2019","739","2"
"Antigua and Barbuda","2019","Total","Both Sexes","85 - 89","Estimate - de jure","Final figure, complete","2019","635","2"
"Antigua and Barbuda","2019","Total","Both Sexes","90 - 94","Estimate - de jure","Final figure, complete","2019","243","2"
"Antigua and Barbuda","2019","Total","Both Sexes","95 +","Estimate - de jure","Final figure, complete","2019","106","2"
"Argentina","2019","Total","Both Sexes","Total","Estimate - de facto","Final figure, complete","2019","44938712","3"
"Argentina","2019","Total","Both Sexes","0","Estimate - de facto","Final figure, complete","2019","740709","3"
"Argentina","2019","Total","Both Sexes","0 - 4","Estimate - de facto","Final figure, complete","2019","3726162","3"
"Argentina","2019","Total","Both Sexes","1","Estimate - de facto","Final figure, complete","2019","743308","3"
"Argentina","2019","Total","Both Sexes","1 - 4","Estimate - de facto","Final figure, complete","2019","2985453","3"
"Argentina","2019","Total","Both Sexes","2","Estimate - de facto","Final figure, complete","2019","745579","3"
"Argentina","2019","Total","Both Sexes","3","Estimate - de facto","Final figure, complete","2019","747234","3"
"Argentina","2019","Total","Both Sexes","4","Estimate - de facto","Final figure, complete","2019","749332","3"
"Argentina","2019","Total","Both Sexes","5","Estimate - de facto","Final figure, complete","2019","751846","3"
"Argentina","2019","Total","Both Sexes","5 - 9","Estimate - de facto","Final figure, complete","2019","3743931","3"
"Argentina","2019","Total","Both Sexes","6","Estimate - de facto","Final figure, complete","2019","753532","3"
"Argentina","2019","Total","Both Sexes","7","Estimate - de facto","Final figure, complete","2019","754272","3"
"Argentina","2019","Total","Both Sexes","8","Estimate - de facto","Final figure, complete","2019","754243","3"
"Argentina","2019","Total","Both Sexes","9","Estimate - de facto","Final figure, complete","2019","730038","3"
"Argentina","2019","Total","Both Sexes","10","Estimate - de facto","Final figure, complete","2019","719370","3"
"Argentina","2019","Total","Both Sexes","10 - 14","Estimate - de facto","Final figure, complete","2019","3542513","3"
"Argentina","2019","Total","Both Sexes","11","Estimate - de facto","Final figure, complete","2019","712160","3"
"Argentina","2019","Total","Both Sexes","12","Estimate - de facto","Final figure, complete","2019","706506","3"
"Argentina","2019","Total","Both Sexes","13","Estimate - de facto","Final figure, complete","2019","703092","3"
"Argentina","2019","Total","Both Sexes","14","Estimate - de facto","Final figure, complete","2019","701385","3"
"Argentina","2019","Total","Both Sexes","15","Estimate - de facto","Final figure, complete","2019","700881","3"
"Argentina","2019","Total","Both Sexes","15 - 19","Estimate - de facto","Final figure, complete","2019","3508965","3"
"Argentina","2019","Total","Both Sexes","16","Estimate - de facto","Final figure, complete","2019","701126","3"
"Argentina","2019","Total","Both Sexes","17","Estimate - de facto","Final figure, complete","2019","701674","3"
"Argentina","2019","Total","Both Sexes","18","Estimate - de facto","Final figure, complete","2019","702273","3"
"Argentina","2019","Total","Both Sexes","19","Estimate - de facto","Final figure, complete","2019","703011","3"
"Argentina","2019","Total","Both Sexes","20","Estimate - de facto","Final figure, complete","2019","704205","3"
"Argentina","2019","Total","Both Sexes","20 - 24","Estimate - de facto","Final figure, complete","2019","3548389","3"
"Argentina","2019","Total","Both Sexes","21","Estimate - de facto","Final figure, complete","2019","706169","3"
"Argentina","2019","Total","Both Sexes","22","Estimate - de facto","Final figure, complete","2019","709303","3"
"Argentina","2019","Total","Both Sexes","23","Estimate - de facto","Final figure, complete","2019","712998","3"
"Argentina","2019","Total","Both Sexes","24","Estimate - de facto","Final figure, complete","2019","715714","3"
"Argentina","2019","Total","Both Sexes","25","Estimate - de facto","Final figure, complete","2019","716055","3"
"Argentina","2019","Total","Both Sexes","25 - 29","Estimate - de facto","Final figure, complete","2019","3522333","3"
"Argentina","2019","Total","Both Sexes","26","Estimate - de facto","Final figure, complete","2019","713424","3"
"Argentina","2019","Total","Both Sexes","27","Estimate - de facto","Final figure, complete","2019","707262","3"
"Argentina","2019","Total","Both Sexes","28","Estimate - de facto","Final figure, complete","2019","698065","3"
"Argentina","2019","Total","Both Sexes","29","Estimate - de facto","Final figure, complete","2019","687527","3"
"Argentina","2019","Total","Both Sexes","30","Estimate - de facto","Final figure, complete","2019","677072","3"
"Argentina","2019","Total","Both Sexes","30 - 34","Estimate - de facto","Final figure, complete","2019","3287553","3"
"Argentina","2019","Total","Both Sexes","31","Estimate - de facto","Final figure, complete","2019","666944","3"
"Argentina","2019","Total","Both Sexes","32","Estimate - de facto","Final figure, complete","2019","657094","3"
"Argentina","2019","Total","Both Sexes","33","Estimate - de facto","Final figure, complete","2019","647633","3"
"Argentina","2019","Total","Both Sexes","34","Estimate - de facto","Final figure, complete","2019","638810","3"
"Argentina","2019","Total","Both Sexes","35","Estimate - de facto","Final figure, complete","2019","631491","3"
"Argentina","2019","Total","Both Sexes","35 - 39","Estimate - de facto","Final figure, complete","2019","3141871","3"
"Argentina","2019","Total","Both Sexes","36","Estimate - de facto","Final figure, complete","2019","626897","3"
"Argentina","2019","Total","Both Sexes","37","Estimate - de facto","Final figure, complete","2019","625994","3"
"Argentina","2019","Total","Both Sexes","38","Estimate - de facto","Final figure, complete","2019","627667","3"
"Argentina","2019","Total","Both Sexes","39","Estimate - de facto","Final figure, complete","2019","629822","3"
"Argentina","2019","Total","Both Sexes","40","Estimate - de facto","Final figure, complete","2019","628986","3"
"Argentina","2019","Total","Both Sexes","40 - 44","Estimate - de facto","Final figure, complete","2019","3027334","3"
"Argentina","2019","Total","Both Sexes","41","Estimate - de facto","Final figure, complete","2019","622983","3"
"Argentina","2019","Total","Both Sexes","42","Estimate - de facto","Final figure, complete","2019","610387","3"
"Argentina","2019","Total","Both Sexes","43","Estimate - de facto","Final figure, complete","2019","592601","3"
"Argentina","2019","Total","Both Sexes","44","Estimate - de facto","Final figure, complete","2019","572377","3"
"Argentina","2019","Total","Both Sexes","45","Estimate - de facto","Final figure, complete","2019","552405","3"
"Argentina","2019","Total","Both Sexes","45 - 49","Estimate - de facto","Final figure, complete","2019","2579461","3"
"Argentina","2019","Total","Both Sexes","46","Estimate - de facto","Final figure, complete","2019","533048","3"
